ダウンロードした時刻：2026/02/28 23:58:28

,白石,白石,白石,白石,白石,白石,白石,白石,白石
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/9/22,17.9,8,1,23.2,8,1,13.0,8,1
1990/9/23,19.4,8,1,26.7,8,1,13.1,8,1
1990/9/24,20.7,8,1,25.7,8,1,15.4,8,1
1990/9/25,20.2,8,1,22.2,8,1,17.8,8,1
1990/9/26,17.2,8,1,18.3,8,1,15.9,8,1
1990/9/27,17.1,8,1,20.1,8,1,14.6,8,1
1990/9/28,18.6,8,1,21.8,8,1,16.2,8,1
1990/9/29,19.1,8,1,24.5,8,1,15.4,8,1
1990/9/30,16.9,8,1,18.6,8,1,15.5,8,1
1990/10/1,20.3,8,1,25.2,8,1,16.2,8,1
1990/10/2,18.2,8,1,23.2,8,1,11.8,8,1
1990/10/3,16.1,8,1,21.4,8,1,10.2,8,1
1990/10/4,16.9,8,1,18.0,8,1,14.6,8,1
1990/10/5,21.0,8,1,25.1,8,1,17.8,8,1
1990/10/6,18.4,8,1,21.1,8,1,14.9,8,1
1990/10/7,16.9,8,1,20.3,8,1,14.1,8,1
1990/10/8,15.7,8,1,17.1,8,1,13.5,8,1
1990/10/9,14.8,8,1,19.3,8,1,11.6,8,1
1990/10/10,11.9,8,1,16.2,8,1,6.7,8,1
1990/10/11,11.5,8,1,18.1,8,1,5.2,8,1
1990/10/12,13.8,8,1,19.5,8,1,8.8,8,1
1990/10/13,15.1,8,1,18.5,8,1,11.4,8,1
1990/10/14,20.0,8,1,25.1,8,1,16.3,8,1
1990/10/15,18.6,8,1,22.8,8,1,14.8,8,1
1990/10/16,16.6,8,1,20.8,8,1,13.4,8,1
1990/10/17,17.7,8,1,21.4,8,1,14.5,8,1
1990/10/18,16.6,8,1,20.7,8,1,12.8,8,1
1990/10/19,15.0,8,1,20.2,8,1,9.4,8,1
1990/10/20,14.7,8,1,21.8,8,1,8.6,8,1
1990/10/21,14.3,8,1,21.7,8,1,7.0,8,1
1990/10/22,12.9,8,1,17.1,8,1,8.7,8,1
1990/10/23,12.5,8,1,16.2,8,1,9.0,8,1
1990/10/24,13.5,8,1,16.5,8,1,12.0,8,1
1990/10/25,13.5,8,1,18.4,8,1,9.7,8,1
1990/10/26,14.2,8,1,18.6,8,1,12.0,8,1
1990/10/27,13.2,8,1,16.3,8,1,7.9,8,1
1990/10/28,10.0,8,1,16.7,8,1,3.9,8,1
1990/10/29,10.8,8,1,18.8,8,1,4.5,8,1
1990/10/30,10.4,8,1,14.8,8,1,5.5,8,1
1990/10/31,11.7,8,1,14.8,8,1,7.5,8,1
1990/11/1,12.3,8,1,21.0,8,1,5.4,8,1
1990/11/2,12.6,8,1,20.6,8,1,6.9,8,1
1990/11/3,12.6,8,1,16.8,8,1,8.3,8,1
1990/11/4,14.5,8,1,17.4,8,1,12.1,8,1
1990/11/5,17.6,8,1,19.8,8,1,15.2,8,1
1990/11/6,15.9,8,1,21.4,8,1,10.6,8,1
1990/11/7,14.4,8,1,19.5,8,1,9.6,8,1
1990/11/8,12.6,8,1,15.4,8,1,10.1,8,1
1990/11/9,10.2,8,1,13.1,8,1,7.1,8,1
1990/11/10,11.1,8,1,16.8,8,1,4.2,8,1
1990/11/11,6.9,8,1,10.1,8,1,4.2,8,1
1990/11/12,10.9,8,1,15.1,8,1,7.2,8,1
1990/11/13,10.8,8,1,18.9,8,1,5.9,8,1
1990/11/14,11.8,8,1,20.1,8,1,5.9,8,1
1990/11/15,10.0,8,1,15.2,8,1,5.5,8,1
1990/11/16,8.1,8,1,14.0,8,1,0.7,8,1
1990/11/17,13.0,8,1,16.2,8,1,8.2,8,1
1990/11/18,8.5,8,1,12.1,8,1,5.9,8,1
1990/11/19,10.4,8,1,13.1,8,1,7.9,8,1
